GAS_ZONES,gas_zone_lon,gas_zone_lat,gas_well_new_build_allowed
AL,-86.7543388779316,33.0081310166081,1
AR,-92.6564940295573,35.1419082976131,1
AZ,-111.865845199917,33.3679729202109,1
CA,-119.372936990651,35.4636264336713,1
CO,-105.205526306908,39.5134164808127,1
CT,-72.869273158879,41.4969688906213,0
DC,-77.0150728036853,38.9107870417615,0
DE,-75.5574412471963,39.3589026791918,0
FL,-81.6494145693577,27.8227140758532,1
GA,-83.8888405141556,33.3769212159103,0
IA,-93.0399901802508,41.9461941049309,0
ID,-115.204280451598,44.2187896495601,1
IL,-88.3819847257568,41.2869765863766,1
IN,-86.258408093714,40.1499209410381,1
KS,-96.4561316600073,38.464981769881,1
KY,-85.2445403440985,37.8256572702734,1
LA,-91.5170688573996,30.7226734777706,1
MA,-71.3637682883502,42.2722856104354,0
MD,-76.7992063420457,39.1404447616549,1
ME,-69.7299736623775,44.2973450160983,0
MI,-84.2124470502884,42.8726322102084,1
MN,-93.5778577539549,45.2036579023693,0
MO,-92.2021226774235,38.4238591521898,1
MS,-89.5799485531657,32.5910158587439,1
MT,-111.312107737155,46.7869468965306,1
NC,-79.6589664463914,35.543103508567,0
ND,-99.321434979602,47.3480905341442,1
NE,-97.3183867625345,41.1743486707606,1
NH,-71.4637960080513,43.1548282336077,0
NJ,-74.4305670013451,40.4320001089595,0
NM,-106.360527033092,34.6321306844582,1
NV,-116.224986434109,37.041906154048,1
NY,-74.6389723540503,41.5011765836119,1
OH,-82.7640839291685,40.4561971329807,1
OK,-96.8343400735565,35.5985814010782,1
OR,-122.582539651153,44.7432864363964,1
PA,-77.0143532320201,40.4566954543564,1
RI,-71.4507673216412,41.7534131102628,0
SC,-81.0164068533044,34.0253539899866,0
SD,-99.0081253060678,44.0138048170758,1
TN,-86.3536765801682,35.8080833774152,1
TX,-97.3710484269335,30.9058494017497,1
UT,-111.923568494369,40.4013610992421,1
VA,-77.810336370499,37.8093907056977,1
VT,-72.8174430601116,44.0962926808717,0
WA,-121.620919119479,47.3307070154606,0
WI,-89.0300332128415,43.7221214969737,0
WV,-80.7303302338048,38.7970500526891,1
WY,-107.025969361105,42.6970222291945,1
